"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"167","T1873","K0029","K1703",424083.7,4686134,424080.7622,4686136.299,424088.5963,4686126.292,3.73042488712393,9.13164923132832,"FR","FR","-9","3.5","0.5","4","1","-9","-9",2015,2010,2010,"0.000000","0.000000","24.186282","0.999956","0.999956","C_Se_Se","0","0","42","9","0","2","0","0","0","0","---"
"168","T1876","K1852","M1945",424088.1,4686119,424091.1245,4686118.572,424124.6579,4686106.445,3.05463324316663,38.6536942271184,"FR","-9","FR","3.5","1","-9","-9","3.5","1",2015,2010,2012,"0.000000","0.000000","24.178654","0.999956","0.999956","C_Se_Se","0","0","43","10","0","2","0","0","0","0","---"
"169","T5008","M0084","M1792",424090.6,4686119,424098.8635,4686122.227,424111.5434,4686108.074,8.8712435007572,23.6220972727126,"FR","FO","FR","3.5","1","4","1.5","4","1",2015,2012,2012,"0.000000","0.000000","22.352877","0.999727","0.999727","C_Se_Se","0","0","200","78","1","0","1","0","0","0","---"
"170","T0845","M0075","M0054",424091.8,4686119,424092.9902,4686121.682,424101.9135,4686120.132,2.93422903676383,10.1766549637498,"WO","WO","Y","1.5","2.5","2.5","2","1","2.5",2015,2012,2012,"0.011484","0.001000","22.341529","0.999724","0.999724","C_Se_Se","0","0","16","3","0","0","1","0","0","0","---"
"171","T0795","K0029","J0128",424093.2,4686134,424080.7622,4686136.299,424112.6188,4686133.597,12.6484888361711,19.4229812963757,"-9","FR","WR","-9","-9","4","1","1.5","1",2015,2010,2009,"0.043150","0.006000","21.897549","0.999570","0.999570","C_Se_Se","0","0","83","42","1","2","1","0","0","0","---"
"172","T0851","M1047","M0851",424096.6,4686126,424072.2714,4686120.269,424092.2625,4686119.867,24.994502174556,7.51183035314016,"FR","FR","WO","3","1","3","1","1.5","2.5",2015,2012,2012,"0.000000","0.000000","22.109880","0.999652","0.999652","C_Se_Se","0","0","20","8","1","0","3","0","0","0","---"
"173","T0922","M1455","M0268",424101.8,4686119,424101.5413,4686121.114,424111.9475,4686110.088,2.12977033744369,13.5053878227293,"-9","FR","FR","-9","-9","4","1","4","1",2015,2012,2012,"0.025543","0.003000","22.238597","0.999694","0.999694","C_Se_Se","0","0","40","12","0","0","2","0","0","0","---"
"174","T0503","M0096","M0271",424105.9,4686112,424108.7328,4686110.549,424109.0889,4686110.305,3.18279073155504,3.61138591273377,"FR","FO","FR","4.5","0.5","4","2","4","1",2015,2012,2012,"0.000000","0.000000","24.306483","0.999961","0.999961","C_Se_Se","0","0","13","6","1","1","1","0","0","0","---"
"175","T0514","M0252","M0261",424106.8,4686114,424110.7798,4686109.622,424114.2694,4686101.94,5.9165608284197,14.1857511732774,"-9","FR","FR","-9","-9","4","1","4","1",2015,2012,2012,"0.030704","0.004000","20.770190","0.998673","0.998673","C_Se_Se","0","0","92","9","0","0","1","0","0","0","---"
"176","T0643","M0283","L1890",424108.4,4686122,424119.914,4686113.133,424120.8991,4686111.889,14.5325801216608,16.076685659681,"WR","FR","WR","2.5","1","4","1","2.5","1",2015,2012,2011,"0.000000","0.000000","24.263217","0.999960","0.999960","C_Se_Se","0","0","12","16","0","0","0","0","0","0","---"
